cup,under,top
AA,60,68
AA,65,73
AA,70,78
AA,75,83
AA,80,88
A,60,70
A,65,75
A,70,80
A,75,85
A,80,90
A,85,95
A,90,100
A,95,105
A,100,110
A,105,115
A,110,120
B,65,78
B,70,83
B,75,88
B,80,93
B,85,98
B,90,103
B,95,108
B,100,113
B,105,118
B,110,123
C,65,80
C,70,85
C,75,90
C,80,95
C,85,100
C,90,105
C,95,110
C,100,115
C,105,120
C,110,125
D,65,83
D,70,88
D,75,93
D,80,98
D,85,103
D,90,108
D,95,113
D,100,118
E,65,85
E,70,90
E,75,95
E,80,100
E,85,105
E,90,110
F,65,88
F,70,93
F,75,98
F,80,103
F,85,108
